dataset,acc_gap
GunPointAgeSpan,-0.019571429
ItalyPowerDemand,-0.007965686
GunPointMaleVersusFemale,-0.00764881
Coffee,0
ECGFiveDays,0
GunPointOldVersusYoung,0
InsectEPGRegularTrain,0
InsectEPGSmallTrain,0
Plane,0
PowerCons,0
Trace,0
TwoPatterns,0
CBF,0.000208333
BME,0.001041667
Wafer,0.001771907
PigArtPressure,0.00234375
SyntheticControl,0.003125
FreezerRegularTrain,0.003386438
TwoLeadECG,0.003819444
UMD,0.00625
GunPoint,0.010416667
SmoothSubspace,0.014488636
Fish,0.014960106
ShapeletSim,0.017708333
Symbols,0.017739955
Strawberry,0.017770833
Chinatown,0.021603261
StarLightCurves,0.023777748
MixedShapesRegularTrain,0.029481187
SwedishLeaf,0.03119898
FacesUCR,0.034469697
ToeSegmentation1,0.035763889
Fungi,0.0375
NonInvasiveFetalECGThorax2,0.039479592
HandOutlines,0.040643229
NonInvasiveFetalECGThorax1,0.041171595
ToeSegmentation2,0.041666667
Mallat,0.044372116
FaceFour,0.045833333
FordA,0.04797619
UWaveGestureLibraryAll,0.05655602
BirdChicken,0.06
Meat,0.063333333
ECG5000,0.06409331
DiatomSizeReduction,0.065575
ACSF1,0.068923611
SonyAIBORobotSurface2,0.072076023
PigCVP,0.0721875
OSULeaf,0.07671875
ShapesAll,0.0784375
HouseTwenty,0.082727273
MixedShapesSmallTrain,0.083910434
SemgHandSubjectCh2,0.08671875
ProximalPhalanxOutlineCorrect,0.095553571
LargeKitchenAppliances,0.096079545
FreezerSmallTrain,0.103178105
Yoga,0.105072188
Adiac,0.110076531
ECG200,0.112673611
Car,0.116666667
PigAirwayPressure,0.12
MoteStrain,0.129357639
CricketX,0.130803571
SemgHandMovementCh2,0.131640625
ChlorineConcentration,0.133020833
CricketY,0.133482143
SemgHandGenderCh2,0.147708333
SonyAIBORobotSurface1,0.1487625
CricketZ,0.152827381
ProximalPhalanxOutlineAgeGroup,0.153305288
FordB,0.154086538
FiftyWords,0.156640625
CinCECGTorso,0.159674874
PhalangesOutlinesCorrect,0.172132555
ArrowHead,0.172894504
Lightning2,0.17704918
UWaveGestureLibraryX,0.179597494
EthanolLevel,0.183748283
FaceAll,0.186787749
DistalPhalanxOutlineAgeGroup,0.1875
MiddlePhalanxOutlineCorrect,0.194821429
OliveOil,0.2
Lightning7,0.203298611
Computers,0.205010776
Crop,0.214068441
MedicalImages,0.222767857
DistalPhalanxOutlineCorrect,0.22475
WormsTwoClass,0.226442308
BeetleFly,0.23
UWaveGestureLibraryZ,0.240497192
ProximalPhalanxTW,0.241165865
UWaveGestureLibraryY,0.244430444
SmallKitchenAppliances,0.248049242
Earthquakes,0.26467803
Ham,0.265091463
WordSynonyms,0.275010081
ElectricDevices,0.287223543
Rock,0.312
Beef,0.32
Worms,0.327403846
Wine,0.337037037
Herring,0.340625
EOGHorizontalSignal,0.362896825
InsectWingbeatSound,0.375141129
DistalPhalanxTW,0.401231061
ScreenType,0.412007576
MiddlePhalanxOutlineAgeGroup,0.466185897
Haptics,0.466682692
RefrigerationDevices,0.479659091
EOGVerticalSignal,0.484102183
MiddlePhalanxTW,0.51025641
InlineSkate,0.518969298
Phoneme,0.667625
